predictor,ratio,cosine_drop,kl_div,attention_drift
wavelet,0.05,0.0086,nan,1.6615
wavelet,0.10,0.0165,nan,2.5152
wavelet,0.20,0.0389,nan,4.3184
wavelet,0.30,0.1099,nan,5.5054
wavelet,0.50,0.3217,nan,6.6281
wavelet_entropy,0.05,0.0046,nan,1.8157
wavelet_entropy,0.10,0.0104,nan,2.6264
wavelet_entropy,0.20,0.0473,nan,3.8910
wavelet_entropy,0.30,0.0903,nan,4.6248
wavelet_entropy,0.50,0.2009,nan,6.2166
attention_entropy,0.05,0.0046,nan,1.8157
attention_entropy,0.10,0.0104,nan,2.6264
attention_entropy,0.20,0.0473,nan,3.8910
attention_entropy,0.30,0.0903,nan,4.6248
attention_entropy,0.50,0.2009,nan,6.2166
attention_entropy_true,0.05,0.0066,nan,2.2797
attention_entropy_true,0.10,0.0118,nan,3.1604
attention_entropy_true,0.20,0.0321,nan,4.4848
attention_entropy_true,0.30,0.1393,nan,5.7025
attention_entropy_true,0.50,0.2454,nan,6.6937
attention_weight,0.05,0.0289,nan,1.1669
attention_weight,0.10,0.1103,nan,1.7207
attention_weight,0.20,0.1424,nan,2.8179
attention_weight,0.30,0.2026,nan,3.9379
attention_weight,0.50,0.2746,nan,5.2051
magnitude,0.05,0.0518,nan,1.1595
magnitude,0.10,0.0611,nan,1.7345
magnitude,0.20,0.1493,nan,2.8379
magnitude,0.30,0.2419,nan,3.9476
magnitude,0.50,0.2751,nan,5.2764
random,0.05,0.0197,nan,1.5833
random,0.10,0.0340,nan,2.5047
random,0.20,0.0513,nan,3.7290
random,0.30,0.1173,nan,4.6933
random,0.50,0.2143,nan,6.0895
