layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,4,3,5,1
0,1,3,3,5,3
0,2,0,4,4,5
0,3,5,0,2,1
0,4,3,3,5,1
0,5,4,1,5,3
0,6,3,3,5,1
0,7,1,1,5,3
0,8,1,1,2,3
0,9,4,1,5,1
0,10,0,4,4,4
0,11,1,1,0,3
1,0,0,5,4,4
1,1,1,1,0,0
1,2,1,1,0,3
1,3,1,1,0,0
1,4,0,4,4,1
1,5,1,1,0,0
1,6,1,4,2,2
1,7,1,1,0,0
1,8,0,4,4,0
1,9,0,5,4,4
1,10,4,1,5,0
1,11,1,1,0,0
2,0,5,0,1,3
2,1,1,1,0,1
2,2,5,0,1,3
2,3,2,2,3,3
2,4,5,0,1,1
2,5,1,0,2,0
2,6,1,1,2,0
2,7,5,0,4,0
2,8,5,0,3,1
2,9,5,0,1,0
2,10,1,1,0,0
2,11,5,0,4,1
3,0,1,1,0,0
3,1,1,0,2,0
3,2,5,0,1,3
3,3,5,0,4,0
3,4,0,4,4,0
3,5,4,1,5,1
3,6,2,2,3,3
3,7,2,2,3,3
3,8,5,0,1,1
3,9,5,0,4,0
3,10,5,0,2,0
3,11,5,0,3,3
4,0,1,0,2,0
4,1,1,1,0,0
4,2,1,1,5,0
4,3,5,0,1,3
4,4,5,0,1,0
4,5,1,1,0,1
4,6,2,2,3,3
4,7,1,1,0,0
4,8,1,1,2,0
4,9,2,2,3,3
4,10,1,1,0,1
4,11,5,0,1,3
5,0,2,0,3,3
5,1,5,0,1,3
5,2,5,0,1,3
5,3,5,0,1,3
5,4,5,0,1,3
5,5,5,0,1,3
5,6,5,0,1,3
5,7,2,2,3,3
5,8,1,0,2,0
5,9,5,0,1,3
5,10,5,0,1,3
5,11,2,2,3,3
